step,inference_time_sec,action_dx,action_dy,action_dz,action_droll,action_dpitch,action_dyaw,action_gripper,timestamp
0,0.3604,-0.005575,0.002798,-0.000659,0.0,0.0,0.0,0.0,13:09:18.310805
1,0.3241,-0.005575,0.002798,-0.000659,0.0,0.0,0.0,0.0,13:09:19.153216
2,0.2795,-0.01003,0.006059,0.000681,0.0,0.0,0.0,0.0,13:09:19.941649
3,0.5594,-0.003853,0.007611,0.001534,0.0,0.0,0.0,0.0,13:09:21.005341
4,0.2398,-0.003043,0.006783,0.001412,0.0,0.0,0.0,0.0,13:09:21.751234
5,0.3908,-0.003043,0.006783,0.001412,0.0,0.0,0.0,0.0,13:09:22.647952
6,0.2262,-0.001929,0.004299,0.000925,0.0,0.0,0.0,0.0,13:09:23.370511
7,0.302,-0.001524,0.004299,0.000925,0.0,0.0,0.0,0.0,13:09:24.176897
8,0.2436,-0.000916,0.003057,0.000681,0.0,0.0,0.0,0.0,13:09:24.926017
9,0.259,-0.000714,0.003833,-0.001024,0.0,0.0,0.0,0.0,13:09:25.681188
10,0.2678,-0.000613,0.003678,-0.010645,0.0,0.0,0.0,0.0,13:09:26.450307
11,0.2605,-0.00041,0.003626,-0.010889,0.0,0.0,0.0,0.0,13:09:27.214968
12,0.2727,-0.000207,0.001298,-0.014542,0.0,0.0,0.0,0.0,13:09:27.986643
13,0.2946,-0.000207,0.001298,-0.014542,0.0,0.0,0.0,0.0,13:09:28.784890
14,0.2497,-0.000207,0.001298,-0.014542,0.0,0.0,0.0,0.0,13:09:29.540645
15,0.2416,9.6e-05,-0.000721,-0.01235,0.0,0.0,0.0,0.0,13:09:30.288414
16,0.2389,9.6e-05,-0.000721,-0.01235,0.0,0.0,0.0,0.0,13:09:31.027658
17,0.2387,9.6e-05,-0.001342,-0.009184,0.0,0.0,0.0,0.0,13:09:31.768070
18,0.2459,0.000198,-0.001342,-0.009184,0.0,0.0,0.0,0.0,13:09:32.513067
19,0.2487,0.000299,-0.001342,-0.009062,0.0,0.0,0.0,0.0,13:09:33.270872
20,0.2832,0.000299,-0.001342,-0.009062,0.0,0.0,0.0,0.0,13:09:34.073775
21,0.3793,0.000299,-0.001342,-0.00687,0.0,0.0,0.0,0.0,13:09:34.957107
22,0.2264,0.000299,-0.001342,-0.00687,0.0,0.0,0.0,0.0,13:09:35.711691
23,0.2608,0.0004,-0.001342,-0.005043,0.0,0.0,0.0,0.0,13:09:36.494303
24,0.2284,-0.001423,0.003626,0.000681,0.0,0.0,0.0,0.0,13:09:37.349104
25,0.251,0.0004,-0.00129,-0.003338,0.0,0.0,0.0,0.996078,13:09:38.253222
26,0.2365,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:09:39.616922
27,0.2288,0.000299,-0.001342,-0.004921,0.0,0.0,0.0,0.0,13:09:40.750326
28,0.2356,0.000299,-0.001083,-0.003338,0.0,0.0,0.0,0.996078,13:09:42.530081
