step,inference_time_sec,action_dx,action_dy,action_dz,action_droll,action_dpitch,action_dyaw,action_gripper,timestamp
0,0.5649,-0.005372,0.00285,-0.000537,0.0,0.0,0.0,0.0,13:15:21.981745
1,5.0466,-0.003043,0.006162,0.001168,0.0,0.0,0.0,0.0,13:15:27.513916
2,0.3136,-0.003043,0.006162,0.001168,0.0,0.0,0.0,0.0,13:15:28.314250
3,0.2564,-0.003043,0.006783,0.00129,0.0,0.0,0.0,0.0,13:15:29.063206
4,0.8334,-0.002233,0.004868,0.001168,0.0,0.0,0.0,0.0,13:15:30.385670
5,0.2737,-0.00203,0.005282,0.001168,0.0,0.0,0.0,0.0,13:15:31.151405
6,0.274,-0.000613,0.002643,0.000681,0.0,0.0,0.0,0.0,13:15:31.918082
7,0.2405,-0.000613,0.002643,0.000681,0.0,0.0,0.0,0.0,13:15:32.651377
8,0.5172,-0.000613,0.003678,-0.000902,0.0,0.0,0.0,0.0,13:15:33.672198
9,0.3008,-0.000613,0.003678,-0.010645,0.0,0.0,0.0,0.0,13:15:34.482270
10,0.2477,-0.00041,0.003678,-0.010645,0.0,0.0,0.0,0.0,13:15:35.244851
11,0.2351,-0.00041,0.003678,-0.010645,0.0,0.0,0.0,0.0,13:15:35.994469
12,0.2487,-0.00041,0.003678,-0.010645,0.0,0.0,0.0,0.0,13:15:36.753850
13,0.2671,-0.000106,0.001142,-0.014664,0.0,0.0,0.0,0.0,13:15:37.524041
14,0.3601,-0.000106,0.001142,-0.014664,0.0,0.0,0.0,0.0,13:15:38.394587
15,0.3921,9.6e-05,0.001194,-0.014664,0.0,0.0,0.0,0.0,13:15:39.287842
16,0.3703,9.6e-05,-0.000721,-0.01235,0.0,0.0,0.0,0.0,13:15:40.174249
17,0.2991,9.6e-05,-0.001342,-0.009062,0.0,0.0,0.0,0.0,13:15:40.978265
18,0.3845,9.6e-05,-0.001342,-0.009062,0.0,0.0,0.0,0.0,13:15:41.875476
19,0.5299,0.000299,-0.001342,-0.009062,0.0,0.0,0.0,0.0,13:15:42.912553
20,0.3526,0.000198,-0.001342,-0.006748,0.0,0.0,0.0,0.0,13:15:43.772098
21,0.2687,0.000198,-0.001342,-0.006748,0.0,0.0,0.0,0.0,13:15:44.546902
22,0.3277,0.000198,-0.001342,-0.005043,0.0,0.0,0.0,0.0,13:15:45.372772
23,0.3451,0.0004,-0.001342,-0.005043,0.0,0.0,0.0,0.0,13:15:46.232816
24,0.3408,0.000299,-0.001031,-0.003338,0.0,0.0,0.0,0.996078,13:15:47.085789
25,0.2381,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:15:48.554362
26,0.6,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:15:50.123655
27,0.469,-0.000309,0.003109,0.012007,0.0,0.0,0.0,0.996078,13:15:51.510155
28,0.313,-0.000309,0.003109,0.011764,0.0,0.0,0.0,0.996078,13:15:52.901879
29,0.2462,-0.000714,0.003005,0.011764,0.0,0.0,0.0,0.996078,13:15:54.113271
30,0.2353,-0.000714,0.003005,0.011764,0.0,0.0,0.0,0.996078,13:15:55.317895
31,0.4758,-0.00041,0.003057,0.015417,0.0,0.0,0.0,0.996078,13:15:56.759276
32,0.2767,-0.00041,0.003109,0.015417,0.0,0.0,0.0,0.996078,13:15:57.985362
33,0.6326,-0.00041,0.003109,0.016148,0.0,0.0,0.0,0.996078,13:15:59.571980
34,0.6675,-0.00041,0.003109,0.016148,0.0,0.0,0.0,0.996078,13:16:01.196415
35,0.3169,-0.000309,0.001298,0.015904,0.0,0.0,0.0,0.996078,13:16:02.339146
36,0.2337,9.6e-05,-0.001342,-0.009062,0.0,0.0,0.0,0.0,13:16:03.110225
37,0.2342,0.000198,-0.001342,-0.009184,0.0,0.0,0.0,0.0,13:16:03.841059
38,0.4799,0.000198,-0.001342,-0.009062,0.0,0.0,0.0,0.0,13:16:04.825422
39,0.2348,0.000299,-0.001342,-0.006748,0.0,0.0,0.0,0.0,13:16:05.567323
40,0.3794,0.000198,-0.001342,-0.005043,0.0,0.0,0.0,0.0,13:16:06.451173
41,0.3687,0.000198,-0.001342,-0.005043,0.0,0.0,0.0,0.0,13:16:07.318667
42,0.2313,0.000299,-0.001083,-0.00346,0.0,0.0,0.0,0.996078,13:16:08.040999
43,0.2515,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:16:09.276276
44,0.2413,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:16:10.447681
45,0.2252,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:16:11.589862
46,0.5052,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:16:13.007295
47,0.2643,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:16:14.052524
48,0.2247,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:16:15.016603
49,0.2434,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:16:15.996063
50,0.2366,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:16:16.975315
