step,inference_time_sec,action_dx,action_dy,action_dz,action_droll,action_dpitch,action_dyaw,action_gripper,timestamp
0,0.3409,0.002122,0.003005,-0.000659,0.0,0.0,0.0,0.0,13:09:56.607418
1,0.2248,0.001008,0.007715,7.2e-05,0.0,0.0,0.0,0.0,13:09:57.328182
2,0.2138,0.001008,0.007559,7.2e-05,0.0,0.0,0.0,0.0,13:09:58.035237
3,0.2419,0.001109,0.007559,7.2e-05,0.0,0.0,0.0,0.0,13:09:58.767659
4,0.2175,0.001109,0.007559,0.001412,0.0,0.0,0.0,0.0,13:09:59.481715
5,0.2379,0.001008,0.007559,0.001412,0.0,0.0,0.0,0.0,13:10:00.214522
6,0.2181,0.000603,0.007145,0.00129,0.0,0.0,0.0,0.0,13:10:00.930463
7,0.2187,0.000603,0.007145,0.00129,0.0,0.0,0.0,0.0,13:10:01.645553
8,0.291,0.000299,0.005852,0.001046,0.0,0.0,0.0,0.0,13:10:02.449352
9,0.2635,0.000299,0.005852,0.001046,0.0,0.0,0.0,0.0,13:10:03.239932
10,0.239,0.000198,0.003471,0.000681,0.0,0.0,0.0,0.0,13:10:03.981698
11,0.2409,0.000198,0.003471,0.000681,0.0,0.0,0.0,0.0,13:10:04.756384
12,0.2248,0.000198,0.003471,0.000681,0.0,0.0,0.0,0.0,13:10:05.495774
13,0.2363,0.000198,0.005075,-0.005896,0.0,0.0,0.0,0.0,13:10:06.260623
14,0.2287,0.000198,0.003471,-0.011863,0.0,0.0,0.0,0.0,13:10:07.014323
15,0.2163,9.6e-05,0.003368,-0.01235,0.0,0.0,0.0,0.0,13:10:07.751148
16,0.284,9.6e-05,0.000987,-0.014786,0.0,0.0,0.0,0.0,13:10:08.540237
17,0.2283,9.6e-05,0.000987,-0.014786,0.0,0.0,0.0,0.0,13:10:09.294944
18,0.218,-5e-06,0.000884,-0.014786,0.0,0.0,0.0,0.0,13:10:10.055625
19,0.2157,-5e-06,0.000884,-0.014786,0.0,0.0,0.0,0.0,13:10:10.794622
20,0.2208,-5e-06,-0.000669,-0.011741,0.0,0.0,0.0,0.0,13:10:11.516557
21,0.2169,-5e-06,-0.000617,-0.011376,0.0,0.0,0.0,0.0,13:10:12.247334
22,0.2159,-5e-06,-0.000617,-0.011376,0.0,0.0,0.0,0.0,13:10:12.969057
23,0.2169,-5e-06,-0.001342,-0.00894,0.0,0.0,0.0,0.0,13:10:13.684868
24,0.2177,-5e-06,-0.001342,-0.006504,0.0,0.0,0.0,0.0,13:10:14.396387
25,0.2251,-5e-06,-0.001342,-0.006504,0.0,0.0,0.0,0.0,13:10:15.113410
26,0.2157,-0.000106,-0.001342,-0.006504,0.0,0.0,0.0,0.0,13:10:15.827246
27,0.2367,-5e-06,-0.001083,-0.00346,0.0,0.0,0.0,0.996078,13:10:16.564467
28,0.2147,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:10:17.360892
29,0.2136,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:10:18.169789
30,0.2336,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:10:18.946108
31,0.2254,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:10:19.696688
32,0.2169,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:10:20.467566
33,0.2171,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:10:21.238487
34,0.2158,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:10:22.001494
35,0.2421,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:10:22.792053
36,0.2163,-5e-06,0.000107,7.2e-05,0.0,0.0,0.0,0.996078,13:10:23.613010
37,0.2277,-5e-06,0.000107,-0.000172,0.0,0.0,0.0,0.996078,13:10:24.480212
38,0.2265,-5e-06,0.000107,-0.000172,0.0,0.0,0.0,0.996078,13:10:25.260840
39,0.2254,-5e-06,0.000107,-0.000172,0.0,0.0,0.0,0.996078,13:10:26.058849
