step,inference_time_sec,action_dx,action_dy,action_dz,action_droll,action_dpitch,action_dyaw,action_gripper,timestamp
0,0.2406,-0.005271,0.00285,-0.000659,0.0,0.0,0.0,0.0,13:11:57.554416
1,0.4769,-0.003549,0.007715,-0.00212,0.0,0.0,0.0,0.0,13:11:58.510107
2,0.2327,-0.002537,0.011078,-0.003703,0.0,0.0,0.0,0.0,13:11:59.235689
3,0.3432,-0.001828,0.010975,-0.001024,0.0,0.0,0.0,0.0,13:12:00.069181
4,0.5226,-0.001828,0.010975,-0.001024,0.0,0.0,0.0,0.0,13:12:01.086814
5,0.2298,-0.002537,0.011803,-0.001268,0.0,0.0,0.0,0.0,13:12:01.805758
6,0.312,-0.002537,0.011803,-0.001268,0.0,0.0,0.0,0.0,13:12:02.616795
7,0.2972,-0.00203,0.011803,-0.000172,0.0,0.0,0.0,0.0,13:12:03.407502
8,0.2539,-0.00203,0.011803,-0.000172,0.0,0.0,0.0,0.0,13:12:04.152333
9,0.2726,-0.00203,0.011803,-0.000172,0.0,0.0,0.0,0.0,13:12:04.916903
10,0.2395,-0.00203,0.009888,0.001899,0.0,0.0,0.0,0.0,13:12:05.647517
11,0.2957,-0.00203,0.009888,0.001899,0.0,0.0,0.0,0.0,13:12:06.434307
12,0.3109,-0.00203,0.009888,0.001899,0.0,0.0,0.0,0.0,13:12:07.236983
13,0.2422,-0.00203,0.009888,0.001899,0.0,0.0,0.0,0.0,13:12:07.961566
14,0.3052,-0.001321,0.00699,0.001777,0.0,0.0,0.0,0.0,13:12:08.759976
15,0.2351,-0.001321,0.00699,0.001777,0.0,0.0,0.0,0.0,13:12:09.477997
16,0.2654,-0.000916,0.006731,0.001777,0.0,0.0,0.0,0.0,13:12:10.232170
17,0.3346,-0.000916,0.006731,0.001777,0.0,0.0,0.0,0.0,13:12:11.066064
18,0.2468,-0.000916,0.005075,0.001168,0.0,0.0,0.0,0.0,13:12:11.804113
19,0.239,-0.000916,0.005075,0.001168,0.0,0.0,0.0,0.0,13:12:12.529498
20,0.2895,-0.000916,0.005075,0.001168,0.0,0.0,0.0,0.0,13:12:13.304450
21,0.2431,-0.000916,0.005075,0.001168,0.0,0.0,0.0,0.0,13:12:14.037434
22,0.8644,-0.000916,0.005075,0.001168,0.0,0.0,0.0,0.0,13:12:15.385815
23,0.3217,-0.000916,0.005075,0.001168,0.0,0.0,0.0,0.0,13:12:16.186804
24,1.007,-0.000916,0.005075,0.001168,0.0,0.0,0.0,0.0,13:12:17.672171
25,0.3357,-0.000916,0.005075,0.000925,0.0,0.0,0.0,0.0,13:12:18.494940
26,0.3443,-0.000916,0.004661,-0.001268,0.0,0.0,0.0,0.0,13:12:19.323904
27,0.5071,-0.000916,0.003161,0.000681,0.0,0.0,0.0,0.0,13:12:20.312735
28,0.3075,-0.000916,0.003161,-0.01369,0.0,0.0,0.0,0.0,13:12:21.112925
29,0.2613,-0.000613,0.003161,-0.01369,0.0,0.0,0.0,0.0,13:12:21.860276
30,0.7018,-0.000207,0.000832,-0.014786,0.0,0.0,0.0,0.0,13:12:23.049262
31,0.8678,9.6e-05,0.000832,-0.014664,0.0,0.0,0.0,0.0,13:12:24.404548
32,0.3078,9.6e-05,-0.000617,-0.01162,0.0,0.0,0.0,0.0,13:12:25.206995
33,0.2578,9.6e-05,-0.000565,-0.011376,0.0,0.0,0.0,0.0,13:12:25.952648
34,0.3149,9.6e-05,-0.000617,-0.011498,0.0,0.0,0.0,0.0,13:12:26.753352
35,0.2445,9.6e-05,-0.000617,-0.011376,0.0,0.0,0.0,0.0,13:12:27.485179
36,0.4885,0.000198,-0.001135,-0.008453,0.0,0.0,0.0,0.0,13:12:28.465399
37,0.3097,0.000299,-0.001135,-0.008453,0.0,0.0,0.0,0.0,13:12:29.261888
38,0.3119,0.000299,0.011803,0.000437,0.0,0.0,0.0,0.0,13:12:30.064283
39,0.9277,0.000198,-0.001031,-0.006017,0.0,0.0,0.0,0.0,13:12:31.479940
40,0.2725,0.000198,-0.001135,-0.006139,0.0,0.0,0.0,0.0,13:12:32.243164
41,0.2927,0.000198,-0.001083,-0.004678,0.0,0.0,0.0,0.0,13:12:33.027035
42,0.4153,0.000198,-0.000876,-0.003338,0.0,0.0,0.0,0.996078,13:12:34.046867
43,0.2884,-5e-06,-0.000824,-0.003216,0.0,0.0,0.0,0.996078,13:12:34.941035
44,0.3506,9.6e-05,-0.000824,-0.004312,0.0,0.0,0.0,0.0,13:12:35.942135
45,0.3377,9.6e-05,-0.000824,-0.004312,0.0,0.0,0.0,0.0,13:12:36.914000
46,0.6573,9.6e-05,-0.000824,-0.004312,0.0,0.0,0.0,0.0,13:12:38.124471
47,0.2949,-5e-06,-0.000824,-0.004312,0.0,0.0,0.0,0.0,13:12:38.951915
48,0.6521,9.6e-05,-0.000824,-0.004312,0.0,0.0,0.0,0.0,13:12:40.135216
49,0.6828,-5e-06,-0.000824,-0.004312,0.0,0.0,0.0,0.0,13:12:41.350801
50,0.3257,9.6e-05,-0.000824,-0.004312,0.0,0.0,0.0,0.0,13:12:42.219378
51,0.9799,9.6e-05,-0.000824,-0.004312,0.0,0.0,0.0,0.0,13:12:43.735424
52,0.2972,9.6e-05,-0.000824,-0.004312,0.0,0.0,0.0,0.0,13:12:44.560738
53,0.2878,9.6e-05,-0.000824,-0.004312,0.0,0.0,0.0,0.0,13:12:45.387090
