step,inference_time_sec,action_dx,action_dy,action_dz,action_droll,action_dpitch,action_dyaw,action_gripper,timestamp
0,0.3853,-0.003651,0.002954,-0.000659,0.0,0.0,0.0,0.0,13:00:33.070158
1,0.2975,-0.003043,0.006162,0.001168,0.0,0.0,0.0,0.0,13:00:33.886133
2,0.3622,-0.003043,0.006162,0.001168,0.0,0.0,0.0,0.0,13:00:34.725842
3,0.262,-0.001524,0.007973,0.001412,0.0,0.0,0.0,0.0,13:00:35.466667
4,0.4587,-0.001524,0.007973,0.001412,0.0,0.0,0.0,0.0,13:00:36.437361
5,0.2329,-0.000714,0.007456,0.00129,0.0,0.0,0.0,0.0,13:00:37.159488
6,0.2326,-0.000714,0.007456,0.00129,0.0,0.0,0.0,0.0,13:00:37.873715
7,0.2338,-0.00041,0.00404,0.000803,0.0,0.0,0.0,0.0,13:00:38.592934
8,0.4467,-0.000309,0.003109,0.000559,0.0,0.0,0.0,0.0,13:00:39.513917
9,0.3227,-0.000309,0.003109,0.000559,0.0,0.0,0.0,0.0,13:00:40.305881
10,0.4764,-0.000207,0.001763,0.000316,0.0,0.0,0.0,0.0,13:00:41.266002
11,0.3975,-0.000207,0.001763,0.000316,0.0,0.0,0.0,0.0,13:00:42.188537
12,0.2723,-0.000207,0.001763,0.000316,0.0,0.0,0.0,0.0,13:00:42.936457
13,0.3693,-0.000207,0.002281,0.000437,0.0,0.0,0.0,0.0,13:00:43.821337
14,0.6172,-0.000207,0.002281,0.000437,0.0,0.0,0.0,0.0,13:00:44.942404
15,0.3597,-0.000207,0.002281,0.000437,0.0,0.0,0.0,0.0,13:00:45.787880
16,0.2272,-0.00041,0.005075,-0.006139,0.0,0.0,0.0,0.0,13:00:46.504395
17,0.2371,-0.00041,0.003471,-0.01162,0.0,0.0,0.0,0.0,13:00:47.238303
18,0.2313,-0.000309,0.003471,-0.011863,0.0,0.0,0.0,0.0,13:00:47.957141
19,0.2805,-0.000207,0.003471,-0.011863,0.0,0.0,0.0,0.0,13:00:48.731368
20,0.2247,-0.000106,0.000935,-0.014786,0.0,0.0,0.0,0.0,13:00:49.465149
21,0.2351,9.6e-05,-0.000669,-0.01162,0.0,0.0,0.0,0.0,13:00:50.195779
22,0.218,9.6e-05,-0.000669,-0.01162,0.0,0.0,0.0,0.0,13:00:50.907712
23,0.2463,9.6e-05,-0.000669,-0.01162,0.0,0.0,0.0,0.0,13:00:51.648574
24,0.3037,9.6e-05,-0.00129,-0.008697,0.0,0.0,0.0,0.0,13:00:52.439932
25,0.298,9.6e-05,-0.00129,-0.008697,0.0,0.0,0.0,0.0,13:00:53.236348
26,0.2587,9.6e-05,-0.001342,-0.006504,0.0,0.0,0.0,0.0,13:00:54.000302
27,0.2272,9.6e-05,-0.001342,-0.006504,0.0,0.0,0.0,0.0,13:00:54.726585
28,0.2291,9.6e-05,-0.001342,-0.006504,0.0,0.0,0.0,0.0,13:00:55.451641
29,0.2864,9.6e-05,-0.001342,-0.004921,0.0,0.0,0.0,0.0,13:00:56.306639
30,0.5927,0.000299,-0.001031,-0.003338,0.0,0.0,0.0,0.996078,13:00:57.389566
31,0.2414,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,13:00:58.292775
32,0.3358,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,13:00:59.277357
33,0.3874,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,13:01:00.215225
34,0.4999,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,13:01:01.264949
35,0.291,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,13:01:02.119055
36,0.5836,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,13:01:03.309717
37,0.3499,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,13:01:04.274800
38,0.2289,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,13:01:05.228062
39,0.6271,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,13:01:06.561524
40,0.2493,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,13:01:07.513229
41,0.4728,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,13:01:08.716991
42,0.3669,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,13:01:09.881410
43,0.4779,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,13:01:11.193371
44,0.2643,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,13:01:12.198993
