step,inference_time_sec,action_dx,action_dy,action_dz,action_droll,action_dpitch,action_dyaw,action_gripper,timestamp
0,0.6887,-0.004461,0.002902,-0.000659,0.0,0.0,0.0,0.0,13:10:32.716066
1,0.3759,-0.003651,0.007715,-0.00212,0.0,0.0,0.0,0.0,13:10:33.597468
2,0.2372,-0.001018,0.007818,-0.00212,0.0,0.0,0.0,0.0,13:10:34.359736
3,0.2879,-0.001524,0.011803,-0.002364,0.0,0.0,0.0,0.0,13:10:35.139238
4,0.3092,-0.001018,0.011803,-0.002242,0.0,0.0,0.0,0.0,13:10:35.966746
5,0.2454,-0.000309,0.011803,7.2e-05,0.0,0.0,0.0,0.0,13:10:36.735056
6,0.2872,-0.000309,0.011803,7.2e-05,0.0,0.0,0.0,0.0,13:10:37.545184
7,0.2276,-0.000309,0.011803,7.2e-05,0.0,0.0,0.0,0.0,13:10:38.284405
8,0.2432,-0.000309,0.011803,0.001777,0.0,0.0,0.0,0.0,13:10:39.039263
9,0.5997,-0.000309,0.011803,0.001777,0.0,0.0,0.0,0.0,13:10:40.145863
10,0.2312,-0.000309,0.011803,0.001777,0.0,0.0,0.0,0.0,13:10:40.887382
11,0.6175,-0.000309,0.011803,0.001777,0.0,0.0,0.0,0.0,13:10:42.007957
12,0.492,-0.001524,0.011234,0.00263,0.0,0.0,0.0,0.0,13:10:43.005672
13,0.4773,-0.00041,0.008439,0.002508,0.0,0.0,0.0,0.0,13:10:43.971985
14,0.3333,-0.00041,0.007249,0.002142,0.0,0.0,0.0,0.0,13:10:44.809337
15,0.3133,-0.00041,0.005127,0.001534,0.0,0.0,0.0,0.0,13:10:45.630992
16,0.2733,-0.00041,0.005127,0.001534,0.0,0.0,0.0,0.0,13:10:46.402255
17,0.2918,-0.00041,0.005127,0.001534,0.0,0.0,0.0,0.0,13:10:47.196030
18,0.6086,-0.00041,0.005127,0.001534,0.0,0.0,0.0,0.0,13:10:48.312463
19,0.2513,-0.00041,0.005127,0.001534,0.0,0.0,0.0,0.0,13:10:49.081010
20,0.2577,-0.00041,0.005127,0.001046,0.0,0.0,0.0,0.0,13:10:49.854310
21,0.2382,-0.00041,0.005127,0.001534,0.0,0.0,0.0,0.0,13:10:50.595833
22,0.2838,-0.00041,0.006162,0.001534,0.0,0.0,0.0,0.0,13:10:51.391621
23,0.488,-0.00041,0.006162,0.001534,0.0,0.0,0.0,0.0,13:10:52.397231
24,0.372,-0.000613,0.006473,0.001534,0.0,0.0,0.0,0.0,13:10:53.286923
25,0.233,-0.000613,0.006473,0.001534,0.0,0.0,0.0,0.0,13:10:54.030865
26,0.2283,0.000906,0.004558,-0.001268,0.0,0.0,0.0,0.0,13:10:54.770070
27,0.2338,-0.000613,0.006473,0.001534,0.0,0.0,0.0,0.0,13:10:55.505251
28,0.2392,0.000906,0.005127,0.000925,0.0,0.0,0.0,0.0,13:10:56.257339
29,0.2924,-0.000613,0.006473,0.001534,0.0,0.0,0.0,0.0,13:10:57.050475
30,0.2336,-0.000613,0.006473,0.001534,0.0,0.0,0.0,0.0,13:10:57.791916
31,0.2261,0.000906,0.004558,-0.001268,0.0,0.0,0.0,0.0,13:10:58.522379
32,0.9414,-0.000613,0.006473,0.001534,0.0,0.0,0.0,0.0,13:10:59.962983
33,0.2567,0.000906,0.005127,0.000925,0.0,0.0,0.0,0.0,13:11:00.737710
34,0.2774,-0.000613,0.006473,0.001534,0.0,0.0,0.0,0.0,13:11:01.516990
